2014-Mar-28_10-10-04,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_11-57-08,11-57-08.3,12.235,18.076,0,0,0,0,0,0,0,0,-0.232,12.234,23.813,0,0,0,0,-0.591,12.305,26.875,0,0,0,0,0.723,12.34,22.09,0,0,0,0,0.295,12.48,22.664,0,-1,-12.586,3.883,12.586,27.258,1,1,0,0,0,1,1,1440.467,3.093,0.008,109.746,0,0,1886407966,0.05,0.071,1,Sw?,
2014-Mar-28_11-57-08,11-57-08.4,12.442,6.327,0,0,0,0,0,-0.12,-1.473,4.668,-0.229,12.27,24.195,0,0.12,1.449,6.246,-0.594,12.094,27.258,0,-0.12,-1.477,5.063,0.723,12.305,22.09,0,0.14,1.73,5.324,0.295,12.375,23.047,0,0,0,0,12.656,26.492,1,1,0,0,0,1,1,1443.141,3.098,0.003,109.631,0,0,1886407967,0.05,0.164,1,???v,
2014-Mar-28_11-57-08,11-57-08.5,12.451,5.226,0,0,0,0,0,-0.2,-2.449,5.063,-0.229,12.305,24.004,0,0.22,2.652,5.457,-0.594,12.129,27.066,0,-0.22,-2.707,5.852,0.726,12.27,22.473,0,0.22,2.719,5.195,0.295,12.375,23.047,0,0,0,0,12.621,26.684,1,1,0,0,0,1,1,1437.793,3.121,0.003,109.631,0,0,1886407968,0.05,0.254,1,?=??,
2014-Mar-28_11-57-08,11-57-08.5,12.451,5.226,0,0,0,0,0,-0.2,-2.449,5.063,-0.229,12.305,24.004,0,0.22,2.652,5.457,-0.594,12.129,27.066,0,-0.22,-2.707,5.852,0.726,12.27,22.473,0,0.22,2.719,5.195,0.295,12.375,23.047,0,0,0,0,12.621,26.684,1,1,0,0,0,1,1,1437.793,3.121,0.003,109.631,0,0,1886407968,0.05,0.254,1,&???,
2014-Mar-28_11-57-08,11-57-08.6,12.278,13.303,0,0,0,0,0,-0.3,-3.598,8.738,-0.176,11.953,24.004,0,0.3,3.5,12.547,-0.641,11.637,26.684,0,-0.32,-3.793,12.68,0.77,11.848,22.09,0,0.32,3.813,12.418,0.245,11.918,23.047,0,0,0,0,12.34,26.492,1,1,0,0,0,1,1,1440.467,3.709,0.003,109.517,0,0,1886407969,0.05,0.347,1,O?y?,
2014-Mar-28_11-57-08,11-57-08.6,12.096,19.544,0,0,0,0,0,-0.38,-4.492,10.973,-0.107,11.848,24.195,0,0.4,4.582,13.203,-0.717,11.531,26.875,0,-0.4,-4.727,11.891,0.845,11.813,22.664,0,0.4,4.941,10.973,0.16,11.883,22.664,0,0,0,0,12.27,26.492,1,1,0,0,0,1,1,1435.119,3.658,0.003,109.403,0,0,1886407970,0.05,0.438,1,?0?s,
2014-Mar-28_11-57-08,11-57-08.7,12.096,19.544,0,0,0,0,0,-0.38,-4.492,10.973,-0.107,11.848,24.195,0,0.4,4.582,13.203,-0.717,11.531,26.875,0,-0.4,-4.727,11.891,0.845,11.813,22.664,0,0.4,4.941,10.973,0.16,11.883,22.664,0,0,0,0,12.27,26.492,1,1,0,0,0,1,1,1435.119,3.658,0.003,109.403,0,0,1886407970,0.05,0.438,1,QE??,
2014-Mar-28_11-57-08,11-57-08.8,12.045,21.38,0,0,0,0,0,-0.48,-5.637,9.398,0.013,11.742,23.621,0,0.48,5.516,10.711,-0.845,11.566,27.066,0,-0.48,-5.824,10.578,0.974,11.707,22.473,0,0.5,5.887,10.84,0.038,11.777,22.664,0,0,0,0,12.199,26.301,1,1,0,0,0,1,1,1427.096,3.516,-0.002,109.631,0,0,1886407971,0.05,0.528,1,??,
2014-Mar-28_11-57-08,11-57-08.8,11.889,27.254,0,0,0,0,0,-0.56,-6.52,10.316,0.182,11.672,23.813,0,0.56,6.355,12.285,-1.034,11.391,26.684,0,-0.58,-6.77,9.266,1.147,11.672,22.281,0,0.58,6.996,10.84,-0.148,11.707,22.664,0,0,0,0,12.059,26.301,1,1,0,0,0,1,1,1419.073,3.499,0.008,109.631,0,0,1886407972,0.05,0.618,1,???p,
2014-Mar-28_11-57-08,11-57-08.9,11.889,27.254,0,0,0,0,0,-0.56,-6.52,10.316,0.182,11.672,23.813,0,0.56,6.355,12.285,-1.034,11.391,26.684,0,-0.58,-6.77,9.266,1.147,11.672,22.281,0,0.58,6.996,10.84,-0.148,11.707,22.664,0,0,0,0,12.059,26.301,1,1,0,0,0,1,1,1419.073,3.499,0.008,109.631,0,0,1886407972,0.05,0.618,1,)?,
2014-Mar-28_11-57-09,11-57-09.0,11.811,30.192,0,0,0,0,0,-0.66,-7.637,10.055,0.396,11.566,24.195,0,0.66,7.469,12.152,-1.251,11.25,27.066,0,-0.66,-7.684,10.055,1.348,11.602,22.281,0,0.66,7.723,10.445,-0.352,11.707,22.473,0,0,0,0,11.918,26.684,1,1,0,0,0,1,1,1400.353,3.207,0.003,109.517,0,0,1886407973,0.05,0.709,1,??P?,
2014-Mar-28_11-57-09,11-57-09.0,11.716,31.66,0,0,0,0,0,-0.74,-8.457,9.66,0.657,11.531,24.004,0,0.76,8.469,12.813,-1.527,11.109,26.492,0,-0.76,-8.738,10.055,1.622,11.496,22.664,0,0.78,8.965,9.789,-0.65,11.496,22.855,0,0,0,0,11.848,26.301,1,1,0,0,0,1,1,1386.981,2.84,-0.002,109.517,0,0,1886407974,0.05,0.8,1,??9?,
2014-Mar-28_11-57-09,11-57-09.1,11.716,31.66,0,0,0,0,0,-0.74,-8.457,9.66,0.657,11.531,24.004,0,0.76,8.469,12.813,-1.527,11.109,26.492,0,-0.76,-8.738,10.055,1.622,11.496,22.664,0,0.78,8.965,9.789,-0.65,11.496,22.855,0,0,0,0,11.848,26.301,1,1,0,0,0,1,1,1386.981,2.84,-0.002,109.517,0,0,1886407974,0.05,0.8,1,~?Ls,
2014-Mar-28_11-57-09,11-57-09.1,11.639,39.003,0,0,0,0,0,-0.84,-9.512,10.445,0.962,11.355,24.004,0,0.84,9.359,11.891,-1.826,11.039,26.684,0,-0.86,-9.828,9.266,1.92,11.355,22.281,0,0.86,9.855,10.578,-0.94,11.531,22.664,0,0,0,0,11.777,26.301,1,1,0,0,0,1,1,1373.61,2.33,0.003,109.631,0,0,1886407975,0.05,0.889,1,???,
2014-Mar-28_11-57-09,11-57-09.2,11.561,39.37,0,0,0,0,0,-0.92,-10.449,9.527,1.317,11.285,24.004,0,0.94,10.273,10.578,-2.194,11.004,26.875,0,-0.94,-10.676,9.66,2.263,11.32,21.898,0,0.96,10.863,10.711,-1.307,11.32,22.473,0,0,0,0,11.672,27.066,1,1,0,0,0,1,1,1352.216,2.183,0.003,109.631,0,0,1886407976,0.05,0.979,1,????,
2014-Mar-28_11-57-09,11-57-09.3,11.561,39.37,0,0,0,0,0,-0.92,-10.449,9.527,1.317,11.285,24.004,0,0.94,10.273,10.578,-2.194,11.004,26.875,0,-0.94,-10.676,9.66,2.263,11.32,21.898,0,0.96,10.863,10.711,-1.307,11.32,22.473,0,0,0,0,11.672,27.066,1,1,0,0,0,1,1,1352.216,2.183,0.003,109.631,0,0,1886407976,0.05,0.979,1,V?F?,
2014-Mar-28_11-57-09,11-57-09.3,11.449,39.737,0,0,0,0,0,-1,-11.285,8.738,1.691,11.285,24.387,0,1,11.211,9.398,-2.583,11.18,27.449,0,-1,-11.32,8.609,2.653,11.285,22.473,0,1,11.387,9.527,-1.681,11.391,22.664,0,0,0,0,11.707,25.727,1,1,0,0,0,1,1,1317.45,2.023,0.003,109.746,0,0,1886407977,0.05,1.068,1,?=?A,
2014-Mar-28_11-57-09,11-57-09.4,11.613,35.332,0,0,0,0,0,-1,-11.391,6.77,2.134,11.426,24.004,0,1,11.352,8.477,-3.036,11.355,27.258,0,-1,-11.531,6.375,3.071,11.426,22.09,0,1,11.598,7.82,-2.125,11.602,23.047,0,0,0,0,11.813,26.875,1,1,0,0,0,1,1,1282.684,2.105,0.003,109.517,0,0,1886407978,0.05,1.158,1,R???,
2014-Mar-28_11-57-09,11-57-09.5,11.613,35.332,0,0,0,0,0,-1,-11.391,6.77,2.134,11.426,24.004,0,1,11.352,8.477,-3.036,11.355,27.258,0,-1,-11.531,6.375,3.071,11.426,22.09,0,1,11.598,7.82,-2.125,11.602,23.047,0,0,0,0,11.813,26.875,1,1,0,0,0,1,1,1282.684,2.105,0.003,109.517,0,0,1886407978,0.05,1.158,1,&?6#,
2014-Mar-28_11-57-09,11-57-09.5,11.716,30.192,0,0,0,0,0,-1,-11.566,5.984,2.558,11.566,24.195,0,1,11.492,7.559,-3.46,11.531,27.258,0,-1,-11.637,5.59,3.51,11.566,22.09,0,1,11.703,6.246,-2.552,11.707,22.855,0,0,0,0,11.918,26.492,1,1,0,0,0,1,1,1250.593,2.17,-0.002,109.517,0,0,1886407979,0.05,1.249,1,?,?
2014-Mar-28_11-57-09,11-57-09.6,11.777,27.622,0,0,0,0,0,-1,-11.672,5.324,3.042,11.672,23.813,0,1,11.527,6.508,-3.944,11.531,26.492,0,-1,-11.707,4.406,3.966,11.742,22.473,0,1,11.773,5.59,-3.036,11.848,22.855,0,0,0,0,11.988,26.684,1,1,0,0,0,1,1,1215.827,1.901,0.003,109.517,0,0,1886407980,0.05,1.343,1,?<,
Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Mar-28_11-57-09,11-57-09.6,11.855,24.684,0,0,0,0,0,-1,-11.707,5.063,3.51,11.672,24.004,0,1,11.668,5.719,-4.447,11.637,27.066,0,-1,-11.707,4.012,4.46,11.777,22.473,0,1,11.914,5.063,-3.539,11.883,23.047,0,0,0,0,12.059,26.684,1,1,0,0,0,1,1,1173.038,1.576,-0.002,109.631,0,0,1886407981,0.05,1.435,1,J?,
2014-Mar-28_11-57-09,11-57-09.7,11.855,24.684,0,0,0,0,0,-1,-11.707,5.063,3.51,11.672,24.004,0,1,11.668,5.719,-4.447,11.637,27.066,0,-1,-11.707,4.012,4.46,11.777,22.473,0,1,11.914,5.063,-3.539,11.883,23.047,0,0,0,0,12.059,26.684,1,1,0,0,0,1,1,1173.038,1.576,-0.002,109.631,0,0,1886407981,0.05,1.435,1,????,
2014-Mar-28_11-57-09,11-57-09.8,11.898,19.911,0,0,0,0,0,-1,-11.777,4.539,3.995,11.813,24.387,0,1,11.598,5.59,-4.903,11.637,27.066,0,-1,-11.707,3.75,4.928,11.848,22.281,0,1,11.914,4.668,-3.991,11.918,22.473,0,0,0,0,12.094,26.492,1,1,0,0,0,1,1,1132.924,1.319,-0.002,109.631,0,0,1886407982,0.05,1.525,1,?c?u,
2014-Mar-28_11-57-09,11-57-09.8,11.915,20.279,0,0,0,0,0,-1,-11.777,4.406,4.472,11.813,24.195,0,1,11.738,5.063,-5.409,11.742,26.875,0,-1,-11.813,3.488,5.403,11.777,22.09,0,1,11.914,4.934,-4.491,11.883,22.664,0,0,0,0,12.129,26.492,1,1,0,0,0,1,1,1090.136,0.854,-0.002,109.403,0,0,1886407983,0.05,1.613,1,?]?,
2014-Mar-28_11-57-09,11-57-09.9,11.915,20.279,0,0,0,0,0,-1,-11.777,4.406,4.472,11.813,24.195,0,1,11.738,5.063,-5.409,11.742,26.875,0,-1,-11.813,3.488,5.403,11.777,22.09,0,1,11.914,4.934,-4.491,11.883,22.664,0,0,0,0,12.129,26.492,1,1,0,0,0,1,1,1090.136,0.854,-0.002,109.403,0,0,1886407983,0.05,1.613,1,??v?,
2014-Mar-28_11-57-10,11-57-10.0,11.941,19.911,0,0,0,0,0,-1,-11.813,4.406,4.959,11.813,23.813,0,1,11.703,5.195,-5.88,11.777,27.449,0,-1,-11.813,2.961,5.893,11.848,21.898,0,1,11.914,4.539,-4.966,11.918,23.238,0,0,0,0,12.059,26.301,1,1,0,0,0,1,1,1058.044,0.676,-0.002,109.631,0,0,1886407984,0.05,1.707,1,??e,
2014-Mar-28_11-57-10,11-57-10.0,11.941,17.709,0,0,0,0,0,-1,-11.848,4.277,5.469,11.742,23.813,0,1,11.773,5.063,-6.386,11.707,26.875,0,-1,-11.883,3.227,6.367,11.883,22.09,0,1,11.949,4.145,-5.453,11.988,22.281,0,0,0,0,12.164,26.492,1,1,0,0,0,1,1,1015.256,0.395,-0.002,109.517,0,0,1886407985,0.05,1.797,1,???F,
2014-Mar-28_11-57-10,11-57-10.2,11.958,16.974,0,0,0,0,0,-1,-11.848,3.883,6.396,11.848,23.813,0,1,11.773,4.934,-7.342,11.742,27.258,0,-1,-11.848,3.094,7.307,11.848,22.855,0,1,11.879,4.539,-6.399,11.953,22.664,0,0,0,0,12.164,26.875,1,1,0,0,0,1,1,948.398,0.092,-0.002,109.517,0,0,1886407987,0.05,1.973,1,??^X,
2014-Mar-28_11-57-10,11-57-10.3,11.967,17.709,0,0,0,0,0,-1,-11.848,3.883,6.892,11.813,23.813,0,1,11.773,5.063,-7.816,11.707,26.684,0,-1,-11.848,2.961,7.775,11.813,21.898,0,1,11.984,4.145,-6.898,11.988,22.664,0,0,0,0,12.129,26.492,1,1,0,0,0,1,1,929.678,-0.057,-0.002,109.631,0,0,1886407988,0.05,2.064,1,?PfW,
2014-Mar-28_11-57-10,11-57-10.5,11.95,19.544,0,0,0,0,0,-1,-11.777,3.883,7.87,11.813,24.004,0,1,11.738,4.801,-8.797,11.707,27.449,0,-1,-11.883,2.961,8.759,11.883,22.281,0,1,11.949,4.406,-7.879,11.953,22.281,0,0,0,0,12.129,26.109,1,1,0,0,0,1,1,849.45,-0.387,-0.002,109.631,0,0,1886407990,0.05,2.245,1,???,
2014-Mar-28_11-57-10,11-57-10.6,11.958,19.177,0,0,0,0,0,-1,-11.848,4.145,8.354,11.848,23.43,0,1,11.809,4.801,-9.3,11.777,27.258,0,-1,-11.848,2.961,9.243,11.848,21.898,0,1,11.949,4.277,-8.36,11.953,22.664,0,0,0,0,12.164,26.492,1,1,0,0,0,1,1,803.987,-0.358,0.003,109.517,0,0,1886407991,0.05,2.335,1,t?,
2014-Mar-28_11-57-10,11-57-10.6,11.95,19.544,0,0,0,0,0,-1,-11.813,3.883,8.844,11.848,23.813,0,1,11.809,4.934,-9.771,11.813,27.066,0,-1,-11.883,2.832,9.699,11.848,22.09,0,1,11.949,4.406,-8.85,11.918,23.047,0,0,0,0,12.164,27.258,1,1,0,0,0,1,1,769.221,-0.563,0.003,109.631,0,0,1886407992,0.05,2.421,1,?L?,
2014-Mar-28_11-57-10,11-57-10.7,11.95,19.544,0,0,0,0,0,-1,-11.813,3.883,8.844,11.848,23.813,0,1,11.809,4.934,-9.771,11.813,27.066,0,-1,-11.883,2.832,9.699,11.848,22.09,0,1,11.949,4.406,-8.85,11.918,23.047,0,0,0,0,12.164,27.258,1,1,0,0,0,1,1,769.221,-0.563,0.003,109.631,0,0,1886407992,0.05,2.421,1,?&?,
2014-Mar-28_11-57-10,11-57-10.8,11.932,20.646,0,0,0,0,0,-1,-11.777,4.277,9.306,11.848,24.004,0,1,11.773,4.539,-10.258,11.742,26.684,0,-1,-11.848,2.961,10.186,11.848,22.09,0,1,11.949,4.801,-9.315,11.918,22.664,0,0,0,0,12.164,26.492,1,1,0,0,0,1,1,723.758,-0.758,-0.002,109.631,0,0,1886407993,0.05,2.51,1,?nMX,
2014-Mar-28_11-57-10,11-57-10.8,12.131,12.201,0,0,0,0,0,-0.941,-11.289,2.832,9.803,11.988,23.813,0,0.93,11.012,3.094,-10.739,11.918,27.066,0,-0.93,-11.211,1.91,10.667,12.059,22.473,0,0.918,11.133,2.832,-9.824,12.129,22.855,0,0,0,0,12.375,26.109,1,1,0,0,0,1,1,683.644,-0.861,-0.002,109.517,0,0,1886407994,0.05,2.601,1,?6??,
2014-Mar-28_11-57-10,11-57-10.9,12.209,7.061,0,0,0,0,0,-0.878,-10.652,1.648,10.271,12.129,23.813,0,0.878,10.523,2.699,-11.192,11.918,27.258,0,-0.862,-10.453,2.043,11.145,12.129,22.281,0,0.862,10.508,2.305,-10.277,12.234,22.473,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,646.204,-0.705,-0.002,109.517,0,0,1886407995,0.05,2.692,1,???,
2014-Mar-28_11-57-11,11-57-11.0,12.209,7.061,0,0,0,0,0,-0.878,-10.652,1.648,10.271,12.129,23.813,0,0.878,10.523,2.699,-11.192,11.918,27.258,0,-0.862,-10.453,2.043,11.145,12.129,22.281,0,0.862,10.508,2.305,-10.277,12.234,22.473,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,646.204,-0.705,-0.002,109.517,0,0,1886407995,0.05,2.692,1,z?,
2014-Mar-28_11-57-11,11-57-11.0,12.269,5.593,0,0,0,0,0,-0.792,-9.703,1.52,10.752,12.199,24.004,0,0.792,9.52,2.305,-11.673,12.059,27.641,0,-0.792,-9.66,1.125,11.566,12.234,22.09,0,0.792,9.711,2.176,-10.758,12.305,22.664,0,0,0,0,12.48,26.684,1,1,0,0,0,1,1,603.416,-0.8,0.003,109.631,0,0,1886407996,0.05,2.785,1,??,
2014-Mar-28_11-57-11,11-57-11.1,12.416,1.187,0,0,0,0,0,-0.71,-8.758,0,11.176,12.34,24.004,0,0.71,8.559,0,-12.106,12.375,26.684,0,-0.684,-8.465,0,11.999,12.375,22.09,0,0.684,8.555,0,-11.204,12.445,22.281,0,0,0,0,12.586,26.684,1,1,0,1,1,1,1,568.65,-1.433,-0.002,109.517,0,0,1886407997,0.05,2.88,1,?G?,
