2014-Mar-28_10-10-04,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_11-05-06,11-05-06.8,12.425,1.554,-0.001,0.001,-0.001,0,-0.008,0,0,0,0,12.34,22.855,0,0,0,0,-0.104,11.918,26.684,0,0,0,0,0.031,11.988,22.09,0,0,0,0,-0.069,12.199,22.281,0,-1,-12.305,7.559,12.27,25.727,1,1,0,0,0,1,1,1440.467,-90.404,0.008,108.375,0,0,1919317553,0.05,0.072,1,???,
2014-Mar-28_11-05-06,11-05-06.8,12.235,7.428,-0.001,0.001,-0.001,0,-0.008,-0.12,-1.449,4.539,0.116,12.059,23.621,0,0.12,1.426,5.063,-0.104,11.883,26.301,0,-0.12,-1.453,5.063,0.031,12.094,21.707,0,0.14,1.711,5.195,-0.069,12.234,22.281,0,0,0,0,12.48,25.727,1,1,0,0,0,1,1,1440.467,-90.501,-0.002,108.375,0,0,1919317554,0.05,0.167,1,??s,
2014-Mar-28_11-05-06,11-05-06.9,12.235,7.428,-0.001,0.001,-0.001,0,-0.008,-0.12,-1.449,4.539,0.116,12.059,23.621,0,0.12,1.426,5.063,-0.104,11.883,26.301,0,-0.12,-1.453,5.063,0.031,12.094,21.707,0,0.14,1.711,5.195,-0.069,12.234,22.281,0,0,0,0,12.48,25.727,1,1,0,0,0,1,1,1440.467,-90.501,-0.002,108.375,0,0,1919317554,0.05,0.167,1,?b?,
2014-Mar-28_11-05-07,11-05-07.0,12.209,7.428,-0.001,0.001,-0.001,0,-0.008,-0.2,-2.406,6.508,0.141,11.988,23.621,0,0.22,2.582,8.215,-0.119,11.707,26.109,0,-0.22,-2.641,7.164,0.053,11.988,21.707,0,0.24,2.875,7.426,-0.104,11.988,21.516,0,0,0,0,12.305,26.109,1,1,0,0,0,1,1,1437.793,-90.648,-0.002,108.489,0,0,1919317555,0.05,0.259,1,y?`?,
2014-Mar-28_11-05-07,11-05-07.0,12.209,7.428,-0.001,0.001,-0.001,0,-0.008,-0.2,-2.406,6.508,0.141,11.988,23.621,0,0.22,2.582,8.215,-0.119,11.707,26.109,0,-0.22,-2.641,7.164,0.053,11.988,21.707,0,0.24,2.875,7.426,-0.104,11.988,21.516,0,0,0,0,12.305,26.109,1,1,0,0,0,1,1,1437.793,-90.648,-0.002,108.489,0,0,1919317555,0.05,0.259,1,???,
2014-Mar-28_11-05-07,11-05-07.1,11.976,14.771,-0.001,0.001,-0.001,0,-0.008,-0.3,-3.523,10.184,0.179,11.707,23.621,0,0.3,3.426,12.152,-0.154,11.496,25.918,0,-0.32,-3.758,8.738,0.097,11.707,21.516,0,0.32,3.754,12.285,-0.145,11.742,21.707,0,0,0,0,12.094,25.918,1,1,0,0,0,1,1,1437.793,-90.745,0.008,108.489,0,0,1919317556,0.05,0.35,1,????,
2014-Mar-28_11-05-07,11-05-07.2,11.872,17.341,-0.001,0.001,-0.001,0,-0.008,-0.4,-4.629,10.84,0.255,11.566,23.43,0,0.4,4.527,13.074,-0.239,11.391,26.301,0,-0.4,-4.656,8.082,0.176,11.672,21.898,0,0.42,4.898,10.578,-0.232,11.707,21.898,0,0,0,0,12.059,25.918,1,1,0,0,0,1,1,1429.77,-91.154,-0.002,108.375,0,0,1919317557,0.05,0.441,1,n?z?,
2014-Mar-28_11-05-07,11-05-07.2,11.76,23.583,-0.001,0.001,-0.001,0,-0.008,-0.48,-5.52,10.973,0.371,11.496,23.621,0,0.48,5.363,12.547,-0.374,11.25,25.918,0,-0.5,-5.785,8.609,0.302,11.531,21.707,0,0.5,5.797,10.84,-0.361,11.637,21.898,0,0,0,0,11.918,25.918,1,1,0,0,0,1,1,1421.747,-91.434,0.003,108.375,0,0,1919317558,0.05,0.533,1,??8,
2014-Mar-28_11-05-07,11-05-07.3,11.76,23.583,-0.001,0.001,-0.001,0,-0.008,-0.48,-5.52,10.973,0.371,11.496,23.621,0,0.48,5.363,12.547,-0.374,11.25,25.918,0,-0.5,-5.785,8.609,0.302,11.531,21.707,0,0.5,5.797,10.84,-0.361,11.637,21.898,0,0,0,0,11.918,25.918,1,1,0,0,0,1,1,1421.747,-91.434,0.003,108.375,0,0,1919317558,0.05,0.533,1,??r?,
2014-Mar-28_11-05-07,11-05-07.3,11.725,23.583,-0.001,0.001,-0.001,0,-0.008,-0.58,-6.648,8.609,0.55,11.461,23.43,0,0.58,6.441,12.285,-0.553,11.145,26.301,0,-0.58,-6.629,9.398,0.478,11.32,21.707,0,0.6,6.875,10.578,-0.547,11.461,21.898,0,0,0,0,11.813,26.301,1,1,0,0,0,1,1,1413.724,-91.885,-0.002,108.489,0,0,1919317559,0.05,0.626,1,????,
