2014-Mar-28_10-10-04,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_12-23-22,12-23-22.9,12.926,2.288,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.832,23.813,0,0,0,0,0,12.797,27.258,0,0,0,0,0,12.867,22.281,0,0,0,0,0,12.973,22.09,0,0,0,0,13.148,25.918,1,1,0,0,0,0,0,55.187,-4.212,0.003,23.377,0,0,825708407,0.05,10.001,1,K?V?,
2014-Mar-28_12-23-23,12-23-23.2,12.718,7.061,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,24.004,0,0,0,0,0,12.586,26.684,0,0,0,0,0,12.621,22.09,0,0,0,0,0,12.797,22.473,0,0,0,0,12.938,25.535,1,1,0,0,0,1,0,60.535,-4.306,0.003,23.834,0,0,825708410,0.05,10.272,1,U#,
2014-Mar-28_12-23-23,12-23-23.4,12.701,7.428,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,24.004,0,0,0,0,0,12.586,27.066,0,0,0,0,0,12.621,21.516,0,0,0,0,0,12.762,22.281,0,0,0,0,12.902,26.109,1,1,0,0,0,1,0,57.861,-4.354,-0.002,25.319,0,0,825708412,0.05,10.448,1, P?,
2014-Mar-28_12-23-23,12-23-23.5,12.692,8.163,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,23.813,0,0,0,0,0,12.586,27.449,0,0,0,0,0,12.621,21.707,0,0,0,0,0,12.762,22.281,0,0,0,0,12.902,25.535,1,1,0,0,0,1,0,55.187,-4.381,-0.002,24.748,0,0,825708413,0.05,10.537,1,??V,
2014-Mar-28_12-23-23,12-23-23.6,12.692,7.428,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,23.621,0,0,0,0,0,12.586,27.258,0,0,0,0,0,12.621,21.898,0,0,0,0,0,12.762,22.473,0,0,0,0,12.902,25.344,1,1,0,0,0,1,0,60.535,-4.415,0.003,24.52,0,0,825708414,0.05,10.625,1,?{?,
2014-Mar-28_12-23-23,12-23-23.6,12.692,7.428,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,23.621,0,0,0,0,0,12.586,27.258,0,0,0,0,0,12.621,21.898,0,0,0,0,0,12.762,22.473,0,0,0,0,12.902,25.344,1,1,0,0,0,1,0,60.535,-4.415,0.003,24.52,0,0,825708414,0.05,10.625,1,?C\,
2014-Mar-28_12-23-23,12-23-23.7,12.692,8.897,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.586,24.004,0,0,0,0,0,12.586,27.258,0,0,0,0,0,12.621,21.898,0,0,0,0,0,12.727,22.473,0,0,0,0,12.902,25.344,1,1,0,0,0,1,0,57.861,-4.46,0.003,25.548,0,0,825708415,0.05,10.714,1,.ACz,
2014-Mar-28_12-23-23,12-23-23.7,12.675,7.796,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,23.621,0,0,0,0,0,12.551,27.449,0,0,0,0,0,12.621,22.09,0,0,0,0,0,12.727,22.473,0,0,0,0,12.867,25.918,1,1,0,0,0,1,0,57.861,-4.493,0.003,25.205,0,0,825708416,0.05,10.804,1,?-?,
2014-Mar-28_12-23-23,12-23-23.8,12.692,9.264,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.586,24.387,0,0,0,0,0,12.586,27.641,0,0,0,0,0,12.621,22.09,0,0,0,0,0,12.727,22.09,0,0,0,0,12.867,25.727,1,1,0,0,0,1,0,63.21,-4.515,0.008,25.091,0,0,825708417,0.05,10.893,1,H???,
2014-Mar-28_12-23-23,12-23-23.9,12.692,9.264,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.586,24.387,0,0,0,0,0,12.586,27.641,0,0,0,0,0,12.621,22.09,0,0,0,0,0,12.727,22.09,0,0,0,0,12.867,25.727,1,1,0,0,0,1,0,63.21,-4.515,0.008,25.091,0,0,825708417,0.05,10.893,1,??@,
2014-Mar-28_12-23-23,12-23-23.9,12.658,8.53,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,23.813,0,0,0,0,0,12.551,27.449,0,0,0,0,0,12.586,22.281,0,0,0,0,0,12.727,22.281,0,0,0,0,12.902,25.727,1,1,0,0,0,1,0,57.861,-4.536,-0.002,27.147,0,0,825708418,0.05,10.979,1,V1,
2014-Mar-28_12-23-24,12-23-24.0,12.675,7.796,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.586,23.813,0,0,0,0,0,12.551,27.066,0,0,0,0,-0.003,12.586,22.281,0,0,0,0,0,12.727,22.473,0,0,0,0,12.832,25.727,1,1,0,0,0,1,0,298.547,-4.494,0.003,26.233,0,0,825708419,0.05,11.069,1,?a,
2014-Mar-28_12-23-24,12-23-24.1,12.675,7.796,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.586,23.813,0,0,0,0,0,12.551,27.066,0,0,0,0,-0.003,12.586,22.281,0,0,0,0,0,12.727,22.473,0,0,0,0,12.832,25.727,1,1,0,0,0,1,0,298.547,-4.494,0.003,26.233,0,0,825708419,0.05,11.069,1,??k?,
2014-Mar-28_12-23-24,12-23-24.1,12.658,9.264,-0.001,0.001,-0.019,0,-0.008,0,0,0,0,12.621,24.195,0,0,0,0,0,12.516,27.641,0,0,0,0,-0.003,12.621,21.898,0,0,0,0,0,12.727,22.664,0,0,0,0,12.867,25.918,1,1,0,0,0,1,0,71.233,-4.564,-0.002,26.576,0,0,825708420,0.05,11.159,1, &3X,
