2014-Mar-28_10-02-41,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Mar-28_10-06-15,10-06-15.4,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,F??{,
2014-Mar-28_10-06-15,10-06-15.5,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,???4,
2014-Mar-28_10-06-15,10-06-15.6,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,???,
2014-Mar-28_10-06-15,10-06-15.6,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,????,
2014-Mar-28_10-06-15,10-06-15.7,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?7,
2014-Mar-28_10-06-15,10-06-15.8,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?<Code>-10 ERROR: status = -10 (0xFFFFFFF6) sendMessage ...in getTransaction() in C:/WindRiver/workspace/WPILib/CANJaguar.cpp at line 451,
EwH?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Mar-28_10-06-15,10-06-15.8,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?[??,
2014-Mar-28_10-06-15,10-06-15.9,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?M*5,
2014-Mar-28_10-06-16,10-06-16.1,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,dO??,
2014-Mar-28_10-06-16,10-06-16.2,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,??,
2014-Mar-28_10-06-16,10-06-16.3,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?~9?,
2014-Mar-28_10-06-16,10-06-16.3,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?9?N,
2014-Mar-28_10-06-16,10-06-16.4,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?<Code>-10 ERROR: status = -10 (0xFFFFFFF6) sendMessage ...in getTransaction() in C:/WindRiver/workspace/WPILib/CANJaguar.cpp at line 451,
??f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Mar-28_10-06-16,10-06-16.4,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,-??,
2014-Mar-28_10-06-16,10-06-16.5,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,-???,
2014-Mar-28_10-06-16,10-06-16.6,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,f@?M,
2014-Mar-28_10-06-16,10-06-16.6,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?j?,
2014-Mar-28_10-06-16,10-06-16.7,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,$???,
2014-Mar-28_10-06-16,10-06-16.7,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?9&,
2014-Mar-28_10-06-16,10-06-16.8,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,|???,
2014-Mar-28_10-06-16,10-06-16.9,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,w???,
2014-Mar-28_10-06-16,10-06-16.9,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,??1`,
2014-Mar-28_10-06-17,10-06-17.0,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,?<Code>-10 ERROR: status = -10 (0xFFFFFFF6) sendMessage ...in getTransaction() in C:/WindRiver/workspace/WPILib/CANJaguar.cpp at line 451,
?V??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Mar-28_10-06-17,10-06-17.1,12.442,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108.673,-0.613,-0.002,27.262,0,0,1953659220,0.05,11.782,1,dLS?,
