2014-Mar-28_15-55-52,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Mar-28_17-24-09,17-24-09.1,12.865,1.554,0,0.001,0,-0.008,0,0,0,0,-0.311,12.445,23.621,0,0,0,0,-0.616,11.109,26.684,0,0,0,0,0.779,11.285,21.898,0,0,0,0,0.449,11.777,22.09,0,-1,-11.988,4.801,11.953,26.109,0,1,0,0,0,0,1,1443.141,-33.457,-0.002,109.517,1,1,790,0.1,0.059,1,
2014-Mar-28_17-24-09,17-24-09.2,12.321,16.607,0,0.001,0,-0.008,0,0,0,0,-0.311,12.27,23.813,0,0,0,0,-0.619,12.305,27.258,0,0,0,0,0.779,12.27,22.09,0,0,0,0,0.449,12.445,22.473,0,-1,-12.691,3.227,12.586,26.301,1,1,0,0,0,0,1,1443.141,-33.519,-0.002,109.631,1,1,791,0.1,0.195,1,
2014-Mar-28_17-24-09,17-24-09.4,12.485,9.998,0,0.001,0,-0.008,0,0,0,0,-0.311,12.48,23.43,0,0,0,0,-0.616,12.34,26.875,0,0,0,0,0.779,12.48,21.516,0,0,0,0,0.449,12.516,22.281,0,-1,-12.621,2.438,12.621,25.535,1,1,0,0,0,0,1,1445.816,-33.651,0.003,109.517,1,1,793,0.1,0.469,1,
2014-Mar-28_17-24-09,17-24-09.5,12.485,9.998,0,0.001,0,-0.008,0,0,0,0,-0.311,12.48,23.43,0,0,0,0,-0.616,12.34,26.875,0,0,0,0,0.779,12.48,21.516,0,0,0,0,0.449,12.516,22.281,0,-1,-12.621,2.438,12.621,25.535,1,1,0,0,0,0,1,1445.816,-33.651,0.003,109.517,1,1,793,0.1,0.469,1,
2014-Mar-28_17-24-09,17-24-09.6,12.407,21.013,0,0.001,0,-0.008,0,0,0,0,-0.311,12.305,23.813,0,0,0,0,-0.616,12.305,26.492,0,0,0,0,0.776,12.305,22.473,0,0,0,0,0.449,12.34,22.281,0,-1,-12.445,5.063,12.41,25.535,1,1,0,0,0,0,1,1448.49,-33.803,-0.002,109.631,1,1,794,0.1,0.605,1,
2014-Mar-28_17-24-09,17-24-09.7,12.347,21.747,0,0.001,0,-0.008,0,0,0,0,-0.311,12.305,23.813,0,0,0,0,-0.616,12.27,26.492,0,0,0,0,0.779,12.234,21.516,0,0,0,0,0.449,12.34,22.09,0,-1,-12.48,5.59,12.516,26.301,1,1,0,0,0,0,1,1445.816,-33.786,-0.002,109.517,1,1,795,0.1,0.739,1,
2014-Mar-28_17-24-09,17-24-09.8,12.174,17.709,0,0.001,0,-0.008,0,0,0,0,-0.311,12.27,23.047,0,0,0,0,-0.613,12.445,26.684,0,0,0,0,0.779,12.586,20.941,0,0,0,0,0.456,12.727,22.281,0,0,0,0,12.867,26.301,1,1,0,0,0,1,1,1451.164,-33.478,0.003,109.631,0,0,796,0.1,0.885,1,
2014-Mar-28_17-24-09,17-24-09.9,12.174,17.709,0,0.001,0,-0.008,0,0,0,0,-0.311,12.27,23.047,0,0,0,0,-0.613,12.445,26.684,0,0,0,0,0.779,12.586,20.941,0,0,0,0,0.456,12.727,22.281,0,0,0,0,12.867,26.301,1,1,0,0,0,1,1,1451.164,-33.478,0.003,109.631,0,0,796,0.1,0.885,1,
2014-Mar-28_17-24-10,17-24-10.0,12.666,5.226,0,0.001,0,-0.008,0,-0.16,-2,4.539,-0.314,12.48,23.43,0,0.16,1.965,5.457,-0.616,12.305,26.875,0,-0.16,-2.008,4.406,0.779,12.48,21.707,0,0.18,2.258,5.852,0.449,12.551,21.898,0,0,0,0,12.832,25.535,1,1,0,0,0,1,1,1443.141,-33.875,-0.002,109.631,0,0,797,0.1,1.027,1,
2014-Mar-28_17-24-10,17-24-10.2,12.442,15.873,0,0.001,0,-0.008,0,-0.3,-3.641,11.105,-0.267,12.094,24.004,0,0.3,3.574,16.227,-0.669,11.883,26.684,0,-0.3,-3.844,11.629,0.842,12.094,21.898,0,0.32,3.914,10.711,0.399,12.234,22.473,0,0,0,0,12.586,26.109,1,1,0,0,0,1,1,1448.49,-33.929,-0.002,109.631,0,0,798,0.1,1.167,1,
2014-Mar-28_17-24-10,17-24-10.3,12.295,22.114,0,0.001,0,-0.008,0,-0.44,-5.277,10.316,-0.11,11.988,23.621,0,0.44,5.148,12.941,-0.823,11.777,26.684,0,-0.46,-5.5,11.105,1.006,11.918,21.707,0,0.46,5.543,11.367,0.236,12.094,22.664,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,1721.267,-33.774,0.003,109.631,0,0,799,0.1,1.308,1,
2014-Mar-28_17-24-10,17-24-10.4,12.295,22.114,0,0.001,0,-0.008,0,-0.44,-5.277,10.316,-0.11,11.988,23.621,0,0.44,5.148,12.941,-0.823,11.777,26.684,0,-0.46,-5.5,11.105,1.006,11.918,21.707,0,0.46,5.543,11.367,0.236,12.094,22.664,0,0,0,0,12.445,26.492,1,1,0,0,0,1,1,1721.267,-33.774,0.003,109.631,0,0,799,0.1,1.308,1,
2014-Mar-28_17-24-10,17-24-10.5,12.148,26.153,0,0.001,0,-0.008,0,-0.58,-6.875,9.398,0.17,11.883,23.621,0,0.58,6.746,12.152,-1.103,11.637,26.492,0,-0.6,-7.109,10.578,1.282,11.883,21.516,0,0.6,7.168,11.762,-0.041,11.988,22.09,0,0,0,0,12.27,25.918,1,1,0,0,0,1,1,1913.816,-33.822,0.003,109.517,0,0,800,0.1,1.449,1,
2014-Mar-28_17-24-10,17-24-10.6,11.967,33.496,0,0.001,0,-0.008,0,-0.72,-8.457,10.445,0.556,11.777,23.813,0,0.72,8.223,12.547,-1.49,11.496,26.875,0,-0.74,-8.715,9.922,1.672,11.707,21.324,0,0.74,8.766,11.234,-0.431,11.813,21.898,0,0,0,0,12.164,26.109,1,1,0,0,0,1,1,1579.53,-34.029,0.003,109.517,0,0,801,0.1,1.59,1,
2014-Mar-28_17-24-10,17-24-10.7,11.811,40.105,0,0.001,0,-0.008,0,-0.86,-9.98,9.66,1.056,11.602,24.004,0,0.86,9.762,11.762,-1.989,11.355,26.109,0,-0.88,-10.18,10.055,2.165,11.602,21.707,0,0.88,10.301,10.055,-0.927,11.707,22.473,0,0,0,0,12.059,25.727,1,1,0,0,0,1,1,1357.564,-34.33,0.003,109.517,0,0,802,0.1,1.729,1,
2014-Mar-28_17-24-10,17-24-10.8,11.613,48.182,0,0.001,0,-0.008,0,-1,-11.461,10.184,1.65,11.461,23.43,0,1,11.387,11.367,-2.596,11.461,26.492,0,-1,-11.496,10.184,2.759,11.496,21.516,0,1,11.633,10.711,-1.527,11.602,22.09,0,0,0,0,11.918,26.492,1,1,0,0,0,1,1,1328.147,-34.708,0.003,109.631,0,0,803,0.1,1.869,1,
2014-Mar-28_17-24-10,17-24-10.9,11.613,48.182,0,0.001,0,-0.008,0,-1,-11.461,10.184,1.65,11.461,23.43,0,1,11.387,11.367,-2.596,11.461,26.492,0,-1,-11.496,10.184,2.759,11.496,21.516,0,1,11.633,10.711,-1.527,11.602,22.09,0,0,0,0,11.918,26.492,1,1,0,0,0,1,1,1328.147,-34.708,0.003,109.631,0,0,803,0.1,1.869,1,
2014-Mar-28_17-24-11,17-24-11.0,11.906,32.762,0,0.001,0,-0.008,0,-1,-11.777,6.641,2.354,11.742,23.621,0,1,11.703,7.953,-3.303,11.707,26.875,0,-1,-11.742,6.508,3.448,11.742,21.707,0,1,11.879,7.559,-2.225,11.918,22.09,0,0,0,0,12.129,25.918,1,1,0,0,0,1,1,1258.616,-34.927,0.008,109.631,0,0,804,0.1,2.011,1,
2014-Mar-28_17-24-11,17-24-11.1,12.045,29.09,0,0.001,0,-0.008,0,-1,-11.848,5.324,3.092,11.883,23.43,0,1,11.773,6.902,-4.07,11.848,26.875,0,-1,-11.953,4.801,4.186,11.953,21.707,0,1,12.09,5.59,-2.967,12.023,22.281,0,0,0,0,12.305,25.535,1,1,0,0,0,1,1,1215.827,-35.414,0.003,109.517,0,0,805,0.1,2.152,1,
2014-Mar-28_17-24-11,17-24-11.3,12.131,22.481,0,0.001,0,-0.008,0,-1,-11.988,4.539,3.847,11.953,24.004,0,1,11.914,5.719,-4.831,11.953,26.875,0,-1,-12.059,4.539,4.934,11.988,21.707,0,1,12.09,5.063,-3.731,12.094,21.898,0,0,0,0,12.305,25.918,1,1,0,0,0,1,1,1135.599,-35.814,0.003,109.403,0,0,806,0.1,2.292,1,
