2014-Feb-17_21-46-32,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left Out Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,Low Transducer(PSI),High Transducer(PSI),Left Talon,Right Talon,Packet Count,Uptime(s),Downtime(s),% CPU,Match Time,,
2014-Feb-17_21-47-10,21-47-10.1,12.511,1.554,-0.001,0.006,-0.001,-0.008,0,0,0,0,-4.647,12.445,21.133,0,0,0,0,4.376,12.41,23.813,0,0,0,0,-4.503,12.445,19.984,0,0,0,0,4.852,12.586,20.367,0,0,0,0,12.727,22.09,1,1,0,0,0,2,1,87.278,-247.309,2.049,109.631,23.835,0,0,9801,0.0336,0.0497,0.675,0,??,
2014-Feb-17_21-47-10,21-47-10.1,12.494,2.288,-0.001,0.008,-0.009,-0.008,0,0,0,0,-4.647,12.41,20.941,0,0,0,0,4.376,12.375,24.004,0,0,0,0,-4.503,12.445,19.793,0,0,0,0,4.852,12.551,20.941,0,-0.108,-1.371,0,12.691,21.324,1,1,0,0,0,2,1,1911.142,-254.439,2.049,109.631,24.177,0,0,10086,0.0391,0.0497,0.7871,27.615,#\'b,
2014-Feb-17_21-47-10,21-47-10.2,12.494,1.921,-0.001,0.008,-0.009,-0.008,0,0,0,0,-4.647,12.41,21.133,0,0,0,0,4.376,12.41,23.621,0,0,0,0,-4.503,12.445,20.367,0,0,0,0,4.852,12.551,20.367,0,-0.108,-1.371,0,12.656,21.898,1,1,0,0,0,2,1,1916.49,-254.46,2.044,109.517,23.949,0,0,10087,0.0358,0.0498,0.7196,27.701,/z,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Feb-17_21-47-10,21-47-10.3,12.494,2.288,-0.001,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.559,0,0,0,0,4.376,12.41,24.195,0,0,0,0,-4.503,12.445,20.176,0,0,0,0,4.852,12.551,20.367,0,-0.108,-1.367,0,12.691,21.898,1,1,0,0,0,2,1,1908.467,-254.483,2.044,109.631,24.177,0,0,10088,0.0397,0.0501,0.7914,27.791,????,
2014-Feb-17_21-47-10,21-47-10.4,12.494,2.656,-0.001,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.941,0,0,0,0,4.376,12.375,24.004,0,0,0,0,-4.503,12.445,20.176,0,0,0,0,4.852,12.551,20.559,0,-0.108,-1.371,0,12.691,22.09,1,1,0,0,0,2,1,1911.142,-254.493,2.049,109.631,24.063,0,0,10089,0.0358,0.0521,0.687,27.879,??,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Feb-17_21-47-10,21-47-10.4,12.494,1.554,-0.001,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.559,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.445,19.984,0,0,0,0,4.852,12.551,20.176,0,-0.108,-1.371,0,12.656,22.281,1,1,0,0,0,2,1,1908.467,-254.53,2.049,109.517,24.063,0,0,10090,0.0383,0.0495,0.7745,27.966,e? ?,
2014-Feb-17_21-47-10,21-47-10.5,12.494,1.554,-0.001,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,20.559,0,0,0,0,4.376,12.375,23.813,0,0,0,0,-4.503,12.445,19.984,0,0,0,0,4.852,12.551,20.176,0,-0.108,-1.371,0,12.656,22.281,1,1,0,0,0,2,1,1908.467,-254.53,2.049,109.517,24.063,0,0,10090,0.0383,0.0495,0.7745,27.966,???<,
2014-Feb-17_21-47-10,21-47-10.6,12.494,2.288,-0.001,0.008,-0.006,-0.008,0,0,0,0,-4.647,12.41,21.133,0,0,0,0,4.376,12.375,24.195,0,0,0,0,-4.503,12.445,20.176,0,0,0,0,4.852,12.551,20.559,0,-0.108,-1.371,0,12.691,21.898,1,1,0,0,0,2,1,1911.142,-254.535,2.039,109.631,23.949,0,0,10091,0.0396,0.0497,0.7967,28.056,???,
