2014-Mar-29_10-41-24,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Mar-29_11-01-22,11-01-22.3,12.666,5.96,-0.001,0.001,0,0,-0.008,0,0,0,0.443,12.586,22.281,0,0,0,0,0.487,12.551,26.492,0,-0.08,-1.004,0,-0.537,12.551,21.133,0,0.08,1.012,2.438,-0.779,12.656,21.898,0,-1,-12.797,2.832,12.832,24.387,0,1,0,0,0,1,1,1445.816,-66.896,0.008,109.289,0,0,1233,0.1,0.112,1,
2014-Mar-29_11-01-22,11-01-22.4,12.658,6.327,-0.001,0.001,0,0,-0.008,-0.2,-2.496,4.934,0.446,12.516,22.281,0,0.2,2.656,5.457,0.487,12.27,25.727,0,-0.22,-2.754,5.324,-0.534,12.445,20.941,0,0.22,2.758,5.984,-0.779,12.516,21.324,0,0,0,0,12.797,24.578,1,1,0,0,0,1,1,1445.816,-66.919,-0.002,109.289,0,0,1234,0.1,0.255,1,
2014-Mar-29_11-01-22,11-01-22.5,12.373,16.24,-0.001,0.001,0,0,-0.008,-0.34,-4.113,12.023,0.519,12.094,22.855,0,0.36,4.238,12.023,0.418,11.813,25.344,0,-0.36,-4.355,11.234,-0.462,12.059,20.941,0,0.36,4.57,9.398,-0.867,12.164,21.707,0,0,0,0,12.516,25.152,1,1,0,0,0,1,1,1443.141,-65.724,0.003,109.289,0,0,1235,0.1,0.396,1,
2014-Mar-29_11-01-22,11-01-22.6,12.373,16.24,-0.001,0.001,0,0,-0.008,-0.34,-4.113,12.023,0.519,12.094,22.855,0,0.36,4.238,12.023,0.418,11.813,25.344,0,-0.36,-4.355,11.234,-0.462,12.059,20.941,0,0.36,4.57,9.398,-0.867,12.164,21.707,0,0,0,0,12.516,25.152,1,1,0,0,0,1,1,1443.141,-65.724,0.003,109.289,0,0,1235,0.1,0.396,1,
2014-Mar-29_11-01-22,11-01-22.8,12.217,23.216,-0.001,0.001,0,0,-0.008,-0.48,-5.738,10.711,0.707,11.953,22.473,0,0.5,5.852,11.629,0.236,11.707,25.727,0,-0.5,-5.996,11.105,-0.277,12.023,20.559,0,0.52,6.27,9.66,-1.056,12.023,21.707,0,0,0,0,12.41,24.77,1,1,0,0,0,1,1,1437.793,-65.603,0.003,109.289,0,0,1236,0.1,0.537,1,
2014-Mar-29_11-01-22,11-01-22.9,12.053,29.457,-0.001,0.001,0,0,-0.008,-0.62,-7.324,9.789,1.018,11.848,22.473,0,0.64,7.355,11.891,-0.066,11.566,25.727,0,-0.64,-7.563,10.445,0.025,11.848,20.941,0,0.66,7.816,11.629,-1.367,11.777,21.133,0,0,0,0,12.199,24.961,1,1,0,0,0,1,1,1411.05,-65.214,-0.002,109.403,0,0,1237,0.1,0.684,1,
2014-Mar-29_11-01-23,11-01-23.0,11.898,35.332,-0.001,0.001,0,0,-0.008,-0.78,-9.023,11.234,1.439,11.672,22.664,0,0.78,8.773,12.547,-0.471,11.285,25.152,0,-0.78,-9.105,9.004,0.453,11.637,20.941,0,0.8,9.336,10.711,-1.785,11.707,21.324,0,0,0,0,12.059,25.344,1,1,0,0,0,1,1,1392.33,-64.163,-0.002,109.289,0,0,1238,0.1,0.826,1,
2014-Mar-29_11-01-23,11-01-23.1,11.898,35.332,-0.001,0.001,0,0,-0.008,-0.78,-9.023,11.234,1.439,11.672,22.664,0,0.78,8.773,12.547,-0.471,11.285,25.152,0,-0.78,-9.105,9.004,0.453,11.637,20.941,0,0.8,9.336,10.711,-1.785,11.707,21.324,0,0,0,0,12.059,25.344,1,1,0,0,0,1,1,1392.33,-64.163,-0.002,109.289,0,0,1238,0.1,0.826,1,
2014-Mar-29_11-01-23,11-01-23.2,11.82,40.105,-0.001,0.001,0,0,-0.008,-0.92,-10.707,9.004,1.977,11.602,22.473,0,0.92,10.316,10.973,-0.993,11.215,25.152,0,-0.94,-10.875,9.66,0.977,11.566,20.559,0,0.94,10.902,9.789,-2.323,11.531,21.324,0,0,0,0,11.953,25.344,1,1,0,0,0,1,1,1344.193,-63.674,0.003,109.289,0,0,1239,0.1,0.967,1,
2014-Mar-29_11-01-23,11-01-23.3,11.751,37.167,-0.001,0.001,0,0,-0.008,-1,-11.566,8.609,2.63,11.566,23.238,0,1,11.492,9.789,-1.625,11.496,25.535,0,-1,-11.672,7.953,1.6,11.672,20.941,0,1,11.703,8.477,-2.957,11.742,20.941,0,0,0,0,12.023,25.152,1,1,0,0,0,1,1,1317.45,-63.726,0.003,109.403,0,0,1240,0.1,1.109,1,
