2014-Mar-29_10-41-24,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,
2014-Mar-29_11-42-16,11-42-16.2,12.882,2.288,0,0,0,0,0,0,0,0,0,12.797,23.238,0,0,0,0,0,12.762,25.727,0,0,0,0,0,12.832,20.75,0,0,0,0,-0.163,12.621,21.516,0,-1,-11.672,15.438,11.004,25.344,0,1,0,0,0,0,1,1913.816,-68.511,0.003,109.289,1,1,1347,0.1,0.042,1,
2014-Mar-29_11-42-16,11-42-16.3,12.571,12.569,0,0,0,0,0,0,0,0,0.145,12.48,22.473,0,0,0,0,-0.16,12.445,25.727,0,0,0,0,0.132,12.516,21.133,0,0,0,0,-0.167,12.621,21.516,0,-1,-12.727,3.75,12.691,25.918,1,1,0,0,0,0,1,1587.553,-68.627,0.003,109.06,1,1,1348,0.1,0.177,1,
2014-Mar-29_11-42-16,11-42-16.4,12.623,9.998,0,0,0,0,0,0,0,0,0.145,12.551,22.855,0,0,0,0,-0.16,12.516,25.727,0,0,0,0,0.132,12.551,20.941,0,0,0,0,-0.163,12.691,21.324,0,-1,-12.797,1.781,12.832,24.961,1,1,0,0,0,0,1,1913.816,-68.669,-0.002,109.289,1,1,1349,0.1,0.315,1,
2014-Mar-29_11-42-16,11-42-16.5,12.623,9.998,0,0,0,0,0,0,0,0,0.145,12.551,22.855,0,0,0,0,-0.16,12.516,25.727,0,0,0,0,0.132,12.551,20.941,0,0,0,0,-0.163,12.691,21.324,0,-1,-12.797,1.781,12.832,24.961,1,1,0,0,0,0,1,1913.816,-68.669,-0.002,109.289,1,1,1349,0.1,0.315,1,
2014-Mar-29_11-42-16,11-42-16.6,12.641,9.631,0,0,0,0,0,0,0,0,0.141,12.551,22.664,0,0,0,0,-0.16,12.516,25.727,0,0,0,0,0.129,12.586,21.133,0,0,0,0,-0.163,12.691,21.324,0,-1,-12.832,2.176,12.797,25.152,1,1,0,0,0,0,1,1913.816,-68.757,-0.002,109.06,1,1,1350,0.1,0.451,1,
2014-Mar-29_11-42-16,11-42-16.7,12.58,12.569,0,0,0,0,0,0,0,0,0.145,12.48,22.473,0,0,0,0,-0.16,12.445,26.109,0,0,0,0,0.132,12.48,20.941,0,0,0,0,-0.167,12.586,21.707,0,-1,-12.656,4.406,12.691,24.961,1,1,0,0,0,0,1,1451.164,-68.74,-0.002,109.289,1,1,1351,0.1,0.587,1,
2014-Mar-29_11-42-16,11-42-16.8,12.502,15.139,0,0,0,0,0,0,0,0,0.145,12.41,22.664,0,0,0,0,-0.16,12.375,26.301,0,0,0,0,0.132,12.445,21.133,0,0,0,0,-0.167,12.586,21.133,0,-1,-12.656,4.406,12.691,25.535,1,1,0,0,0,0,1,1445.816,-68.695,0.003,109.174,1,1,1352,0.1,0.724,1,
2014-Mar-29_11-42-17,11-42-17.0,12.502,15.139,0,0,0,0,0,0,0,0,0.145,12.41,22.664,0,0,0,0,-0.16,12.375,26.301,0,0,0,0,0.132,12.445,21.133,0,0,0,0,-0.167,12.586,21.133,0,-1,-12.656,4.406,12.691,25.535,1,1,0,0,0,0,1,1445.816,-68.695,0.003,109.174,1,1,1352,0.1,0.724,1,
2014-Mar-29_11-42-17,11-42-17.1,12.502,15.139,0,0,0,0,0,0,0,0,0.145,12.375,22.855,0,0,0,0,-0.16,12.375,26.301,0,0,0,0,0.132,12.551,20.559,0,0,0,0,-0.163,12.656,21.133,0,0,0,0,12.938,24.195,1,1,0,0,0,1,1,1448.49,-68.784,0.003,109.06,0,0,1353,0.1,0.866,1,
2014-Mar-29_11-42-17,11-42-17.2,12.736,4.858,0,0,0,0,0,-0.14,-1.758,5.852,0.145,12.551,22.855,0,0.14,1.734,5.852,-0.16,12.41,25.918,0,-0.14,-1.77,5.324,0.132,12.551,20.75,0,0.16,2.016,5.719,-0.167,12.656,21.133,0,0,0,0,12.938,25.152,1,1,0,0,0,1,1,1451.164,-69.033,-0.002,109.174,0,0,1354,0.1,1.007,1,
2014-Mar-29_11-42-17,11-42-17.3,12.658,11.1,0,0,0,0,0,-0.28,-3.465,6.508,0.179,12.41,22.664,0,0.28,3.395,10.055,-0.198,12.059,25.535,0,-0.28,-3.645,9.789,0.176,12.164,20.559,0,0.3,3.699,9.133,-0.211,12.34,21.516,0,0,0,0,12.727,24.961,1,1,0,0,0,1,1,1448.49,-68.979,-0.002,109.289,0,0,1355,0.1,1.147,1,
2014-Mar-29_11-42-17,11-42-17.4,12.373,22.481,0,0,0,0,0,-0.42,-5.082,10.055,0.308,12.059,23.047,0,0.42,4.973,12.813,-0.33,11.777,25.344,0,-0.42,-5.273,10.973,0.305,12.094,20.941,0,0.44,5.367,11.496,-0.336,12.164,21.516,0,0,0,0,12.551,25.344,1,1,0,0,0,1,1,1889.747,-68.702,0.003,109.174,0,0,1356,0.1,1.287,1,
2014-Mar-29_11-42-17,11-42-17.5,12.278,26.153,0,0,0,0,0,-0.56,-6.695,10.445,0.563,11.953,23.047,0,0.56,6.555,11.496,-0.584,11.742,25.727,0,-0.56,-6.887,9.66,0.563,11.953,21.133,0,0.58,6.973,12.152,-0.594,12.023,21.324,0,0,0,0,12.445,24.77,1,1,0,0,0,1,1,1908.467,-68.273,0.003,109.174,0,0,1357,0.1,1.428,1,
2014-Mar-29_11-42-17,11-42-17.6,12.278,26.153,0,0,0,0,0,-0.56,-6.695,10.445,0.563,11.953,23.047,0,0.56,6.555,11.496,-0.584,11.742,25.727,0,-0.56,-6.887,9.66,0.563,11.953,21.133,0,0.58,6.973,12.152,-0.594,12.023,21.324,0,0,0,0,12.445,24.77,1,1,0,0,0,1,1,1908.467,-68.273,0.003,109.174,0,0,1357,0.1,1.428,1,
2014-Mar-29_11-42-17,11-42-17.7,12.131,31.66,0,0,0,0,0,-0.7,-8.27,10.184,0.933,11.883,22.855,0,0.7,8.07,13.336,-0.952,11.496,25.344,0,-0.72,-8.531,9.789,0.93,11.777,20.941,0,0.72,8.605,10.578,-0.962,11.918,21.133,0,0,0,0,12.27,24.77,1,1,0,0,0,1,1,1397.679,-67.864,-0.002,109.289,0,0,1358,0.1,1.569,1,
2014-Mar-29_11-42-17,11-42-17.8,11.906,39.003,0,0,0,0,0,-0.84,-9.836,10.84,1.405,11.707,22.664,0,0.84,9.594,11.762,-1.427,11.426,25.727,0,-0.86,-10.07,9.133,1.414,11.707,21.133,0,0.86,10.188,10.316,-1.443,11.813,21.516,0,0,0,0,12.129,25.152,1,1,0,0,0,1,1,1376.284,-67.712,0.008,109.289,0,0,1359,0.1,1.71,1,
2014-Mar-29_11-42-17,11-42-17.9,11.682,50.018,0,0,0,0,0,-1,-11.461,10.445,1.992,11.461,22.281,0,1,11.457,11.762,-2.011,11.426,25.918,0,-1,-11.602,9.922,1.996,11.602,20.559,0,1,11.633,11.762,-2.024,11.672,21.516,0,0,0,0,11.953,25.152,1,1,0,0,0,1,1,1317.45,-67.646,0.008,109.403,0,0,1360,0.1,1.85,1,
2014-Mar-29_11-42-18,11-42-18.0,11.682,50.018,0,0,0,0,0,-1,-11.461,10.445,1.992,11.461,22.281,0,1,11.457,11.762,-2.011,11.426,25.918,0,-1,-11.602,9.922,1.996,11.602,20.559,0,1,11.633,11.762,-2.024,11.672,21.516,0,0,0,0,11.953,25.152,1,1,0,0,0,1,1,1317.45,-67.646,0.008,109.403,0,0,1360,0.1,1.85,1,
2014-Mar-29_11-42-18,11-42-18.2,11.958,34.23,0,0,0,0,0,-1,-11.777,6.641,2.69,11.813,22.855,0,1,11.703,8.082,-2.696,11.707,25.727,0,-1,-11.813,7.164,2.668,11.742,21.133,0,1,11.914,7.82,-2.706,11.918,21.133,0,0,0,0,12.199,24.195,1,1,0,0,0,1,1,1285.359,-67.82,-0.002,109.174,0,0,1361,0.1,1.991,1,
2014-Mar-29_11-42-18,11-42-18.3,12.105,28.356,0,0,0,0,0,-1,-11.953,5.59,3.419,11.988,22.281,0,1,11.879,6.113,-3.426,11.918,25.535,0,-1,-11.988,5.719,3.382,12.023,20.941,0,1,12.09,6.375,-3.419,12.059,21.516,0,0,0,0,12.305,24.961,1,1,0,0,0,1,1,1215.827,-68.212,0.003,109.403,0,0,1362,0.1,2.131,1,
2014-Mar-29_11-42-18,11-42-18.4,12.183,22.481,0,0,0,0,0,-1,-12.094,4.801,4.177,12.059,22.855,0,1,12.02,5.457,-4.171,11.953,26.109,0,-1,-12.023,4.801,4.12,12.129,21.324,0,1,12.16,5.195,-4.167,12.199,21.516,0,0,0,0,12.41,25.152,1,1,0,0,0,1,1,1173.038,-68.411,-0.002,109.06,0,0,1363,0.1,2.27,1,
