2014-Mar-29_13-31-29,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,,
2014-Mar-29_14-06-00,14-06-00.7,12.39,21.013,-0.001,0,-0.001,-0.008,0,-1,-1.566,2.305,-1.559,12.234,22.855,0,1,2.652,13.73,0.836,11.461,25.152,0,-1,-4.695,14.125,-0.11,11.566,20.941,0,1,5.879,18.59,2.514,11.25,21.133,0,-1,-11.531,2.832,11.496,25.152,1,1,0,0,0,1,1,1445.816,53.087,-0.002,109.403,0,0,1672,0.1,0.075,1,\?W?,,
2014-Mar-29_14-06-00,14-06-00.8,10.706,97.38,-0.001,0,-0.001,-0.008,0,-1,-10.441,14.254,-1.235,10.582,22.664,0,1,10.297,17.668,0.471,10.477,25.344,0,-1,-10.547,25.285,0.176,10.547,20.941,0,1,10.578,27.781,2.191,10.828,21.516,0,0,0,0,11.32,24.961,1,1,0,0,0,1,1,1900.444,51.037,-0.002,109.289,0,0,1673,0.1,0.216,1,?*,,
2014-Mar-29_14-06-00,14-06-00.9,10.706,97.38,-0.001,0,-0.001,-0.008,0,-1,-10.441,14.254,-1.235,10.582,22.664,0,1,10.297,17.668,0.471,10.477,25.344,0,-1,-10.547,25.285,0.176,10.547,20.941,0,1,10.578,27.781,2.191,10.828,21.516,0,0,0,0,11.32,24.961,1,1,0,0,0,1,1,1900.444,51.037,-0.002,109.289,0,0,1673,0.1,0.216,1,?BD?,,
2014-Mar-29_14-06-01,14-06-01.0,11.371,56.259,-0.001,0,-0.001,-0.008,0,-1,-11.215,10.184,-0.654,11.145,22.664,0,1,11,14.254,-0.126,10.969,25.918,0,-1,-11.215,12.023,0.669,11.109,21.133,0,1,11.246,10.711,1.672,11.25,21.516,0,0,0,0,11.672,25.152,1,1,0,0,0,1,1,1413.724,50.351,0.008,109.403,0,0,1674,0.1,0.356,1,??\,,
2014-Mar-29_14-06-01,14-06-01.1,11.734,36.066,-0.001,0,-0.001,-0.008,0,-1,-11.531,8.215,-0.022,11.566,22.855,0,1,11.457,9.398,-0.764,11.461,25.918,0,-1,-11.602,7.559,1.298,11.602,21.133,0,1,11.703,7.559,1.025,11.742,21.516,0,0,0,0,12.059,24.961,1,1,0,0,0,1,1,1384.307,50.362,0.003,109.517,0,0,1675,0.1,0.497,1,.0??,,
2014-Mar-29_14-06-01,14-06-01.2,11.898,29.457,-0.001,0,-0.001,-0.008,0,-1,-11.707,5.59,0.71,11.813,22.664,0,1,11.668,7.164,-1.474,11.672,25.535,0,-1,-11.813,5.852,1.989,11.813,20.941,0,1,11.879,5.984,0.324,11.883,21.324,0,0,0,0,12.164,25.344,1,1,0,0,0,1,1,1314.776,50.015,0.008,109.517,0,0,1676,0.1,0.638,1,?1,,
2014-Mar-29_14-06-01,14-06-01.3,11.898,29.457,-0.001,0,-0.001,-0.008,0,-1,-11.707,5.59,0.71,11.813,22.664,0,1,11.668,7.164,-1.474,11.672,25.535,0,-1,-11.813,5.852,1.989,11.813,20.941,0,1,11.879,5.984,0.324,11.883,21.324,0,0,0,0,12.164,25.344,1,1,0,0,0,1,1,1314.776,50.015,0.008,109.517,0,0,1676,0.1,0.638,1,??{?,,
2014-Mar-29_14-06-01,14-06-01.4,12.019,25.419,-0.001,0,-0.001,-0.008,0,-1,-11.848,4.801,1.446,11.883,22.855,0,1,11.738,6.246,-2.203,11.813,25.727,0,-1,-11.883,5.59,2.706,11.883,20.559,0,1,11.949,5.195,-0.408,11.953,20.941,0,0,0,0,12.234,25.344,1,1,0,0,0,1,1,1274.661,49.311,-0.002,109.517,0,0,1677,0.1,0.783,1,?/xC,,
2014-Mar-29_14-06-01,14-06-01.5,12.062,22.481,-0.001,0,-0.001,-0.008,0,-1,-11.883,4.668,2.2,11.953,23.238,0,1,11.844,5.719,-2.957,11.883,25.918,0,-1,-11.953,4.668,3.438,11.988,20.75,0,1,12.02,4.801,-1.169,12.023,20.941,0,0,0,0,12.27,24.961,1,1,0,0,0,1,1,1194.433,48.486,-0.002,109.517,0,0,1678,0.1,0.925,1,?H*o,,
2014-Mar-29_14-06-01,14-06-01.6,12.114,19.911,-0.001,0,-0.001,-0.008,0,-1,-11.988,4.277,2.967,11.988,22.855,0,1,11.914,5.324,-3.718,11.918,26.109,0,-1,-11.988,4.277,4.199,11.953,20.941,0,1,12.09,4.539,-1.933,12.129,21.707,0,0,0,0,12.27,24.77,1,1,0,0,0,1,1,1156.993,47.897,0.003,109.289,0,0,1679,0.1,1.065,1,?`?,,
2014-Mar-29_14-06-01,14-06-01.8,12.114,19.911,-0.001,0,-0.001,-0.008,0,-1,-11.988,4.277,2.967,11.988,22.855,0,1,11.914,5.324,-3.718,11.918,26.109,0,-1,-11.988,4.277,4.199,11.953,20.941,0,1,12.09,4.539,-1.933,12.129,21.707,0,0,0,0,12.27,24.77,1,1,0,0,0,1,1,1156.993,47.897,0.003,109.289,0,0,1679,0.1,1.065,1,i?*?,,
2014-Mar-29_14-06-01,14-06-01.9,12.131,19.911,-0.001,0,-0.001,-0.008,0,-1,-11.988,3.883,3.731,11.953,22.664,0,1,11.949,5.195,-4.482,11.918,26.109,0,-1,-11.988,3.883,4.947,11.988,21.133,0,1,12.09,4.277,-2.7,12.129,21.516,0,0,0,0,12.27,24.961,1,1,0,0,0,1,1,1079.438,47.297,0.003,109.517,0,0,1680,0.1,1.206,1,K??,,
2014-Mar-29_14-06-02,14-06-02.0,12.122,19.544,-0.001,0,-0.001,-0.008,0,-1,-11.988,4.277,4.504,11.953,22.281,0,1,11.949,4.934,-5.249,11.953,25.918,0,-1,-12.023,3.75,5.698,11.988,20.941,0,1,12.125,4.145,-3.467,12.059,20.75,0,0,0,0,12.305,24.77,1,1,0,0,0,1,1,1031.301,46.808,-0.002,109.517,0,0,1681,0.1,1.347,1,Nz??,,
