2014-Apr-10_09-35-30,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Operator Stick X,Operator Stick Y,Front Left Speed,Front Left Out Volts,Front Left Current,Front Left Position,Front Left In Volts,Front Left Temp(C),Front Left Faults,Front Right Speed,Front Right Out Volts,Front Right Current,Front Right Position,Front Right In Volts,Front Right Temp(C),Front Right Faults,Back Left Speed,Back Left Out Volts,Back Left Current,Back Left Position,Back Left In Volts,Back Left Temp(C),Back Left Faults,Back Right Speed,Back Right Out Volts,Back Right Current,Back Right Position,Back Right In Volts,Back Right Temp(C),Back Right Faults,Angle Speed,Angle Out Volts,Angle Current,Angle In Volts,Angle Temp,Angle Foward Limit,Angle Reverse Limit,Angle Faults,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Elevation Volts,High Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,
2014-Apr-10_11-14-12,11-14-12.3,12.856,1.554,-0.001,0.001,0,0,0,0,0,0,0.264,12.762,23.047,0,0,0,0,-0.189,12.41,25.727,0,0,0,0,0.189,12.551,20.941,0,0,0,0,-0.239,12.727,21.516,0,-1,-12.797,7.164,12.797,25.918,1,1,0,0,0,0,1,1432.444,-33.54,0.003,109.517,0,0,1026,0.1,0.054,1,?W??,
2014-Apr-10_11-14-12,11-14-12.5,12.787,6.327,-0.001,0.001,0,0,0,-1,-2.008,3.75,0.267,12.445,23.238,0,1,4.117,14.52,-0.192,11.496,25.727,0,-1,-5.449,17.273,0.189,11.496,21.324,0,1,6.516,26.336,-0.239,11.039,21.133,0,0,0,0,11.355,25.152,1,1,0,0,0,1,1,1435.119,-33.612,0.003,109.517,0,0,1027,0.1,0.197,1,?b??,
2014-Apr-10_11-14-12,11-14-12.6,11,83.061,-0.001,0.001,0,0,0,-1,-10.828,8.082,0.619,10.758,23.43,0,1,10.578,10.184,-0.591,10.477,25.918,0,-1,-10.301,27.781,0.519,10.336,21.324,0,1,10.438,33.559,-0.603,10.406,21.324,0,0,0,0,11.109,24.961,1,1,0,0,0,1,1,1429.77,-31.917,0.003,109.517,0,0,1028,0.1,0.339,1,???,
2014-Apr-10_11-14-12,11-14-12.7,11,83.061,-0.001,0.001,0,0,0,-1,-10.828,8.082,0.619,10.758,23.43,0,1,10.578,10.184,-0.591,10.477,25.918,0,-1,-10.301,27.781,0.519,10.336,21.324,0,1,10.438,33.559,-0.603,10.406,21.324,0,0,0,0,11.109,24.961,1,1,0,0,0,1,1,1429.77,-31.917,0.003,109.517,0,0,1028,0.1,0.339,1,???,
2014-Apr-10_11-14-12,11-14-12.8,11.371,61.766,-0.001,0.001,0,0,0,-1,-11.18,11.762,1.235,11.109,23.047,0,1,11.07,13.336,-1.185,11.039,25.727,0,-1,-11.18,13.469,1.056,11.18,21.516,0,1,11.352,12.813,-1.138,11.391,21.707,0,0,0,0,11.742,25.535,1,1,0,0,0,1,1,1392.33,-31.507,-0.002,109.746,0,0,1029,0.1,0.485,1,??,
2014-Apr-10_11-14-12,11-14-12.9,11.829,39.37,-0.001,0.001,0,0,0,-1,-11.637,7.164,1.908,11.672,23.238,0,1,11.492,9.66,-1.857,11.566,25.918,0,-1,-11.672,8.871,1.766,11.672,21.324,0,1,11.738,8.871,-1.823,11.813,21.898,0,0,0,0,12.094,25.918,1,1,0,0,0,1,1,1360.239,-30.71,0.003,109.631,0,0,1030,0.1,0.629,1,G*?,
2014-Apr-10_11-14-13,11-14-13.0,12.01,29.457,-0.001,0.001,0,0,0,-1,-11.883,5.063,2.646,11.848,23.43,0,1,11.844,7.426,-2.583,11.777,25.535,0,-1,-11.918,6.113,2.486,11.918,21.324,0,1,11.984,6.113,-2.558,12.059,21.898,0,0,0,0,12.27,25.344,1,1,0,0,0,1,1,1290.707,-31.065,-0.002,109.517,0,0,1031,0.1,0.771,1,h@!?,
2014-Apr-10_11-14-13,11-14-13.1,12.114,26.887,-0.001,0.001,0,0,0,-1,-11.953,5.063,3.407,11.953,22.855,0,1,11.949,5.984,-3.366,11.848,26.109,0,-1,-11.988,5.063,3.234,11.988,21.707,0,1,12.16,5.324,-3.322,12.094,21.324,0,0,0,0,12.34,25.535,1,1,0,0,0,1,1,1247.918,-31.907,0.008,109.631,0,0,1032,0.1,0.914,1,???,
2014-Apr-10_11-14-13,11-14-13.2,12.114,26.887,-0.001,0.001,0,0,0,-1,-11.953,5.063,3.407,11.953,22.855,0,1,11.949,5.984,-3.366,11.848,26.109,0,-1,-11.988,5.063,3.234,11.988,21.707,0,1,12.16,5.324,-3.322,12.094,21.324,0,0,0,0,12.34,25.535,1,1,0,0,0,1,1,1247.918,-31.907,0.008,109.631,0,0,1032,0.1,0.914,1,I1)?,
2014-Apr-10_11-14-13,11-14-13.3,12.157,23.95,-0.001,0.001,0,0,0,-1,-12.023,4.668,4.18,12.023,23.047,0,1,11.914,5.59,-4.145,11.988,25.918,0,-1,-12.023,4.539,4.01,12.094,21.324,0,1,12.16,5.063,-4.13,12.199,21.516,0,0,0,0,12.375,25.918,1,1,0,0,0,1,1,1175.713,-32.792,0.003,109.631,0,0,1033,0.1,1.059,1,2W?,
