2014-Jun-28_09-29-40,Time Stamp,Battery Volts,Battery Amps,Drive Stick X,Drive Stick Y,Drive Stick Z,Foward Direction,Toggle Direction,To High Gear,To Low Gear,Catch Mode,Coll2Shoot,CollDwn2,CollDwn,CollUp2,CollUp,CollTogg,CollHold,Purge,Lauch Ball,Front Left Speed,Front Right Speed,Back Left Speed,Back Right Speed,Angle Speed,Left Launcher Solenoid,Right Launcher Solenoid,Shifter Solenoid,Air Compressor Switch,Ultrasonic Distance(cm),Gyro Angle,Transducer(PSI),Left Talon,Right Talon,Packet Count,Refresh Rate,Match Time,isEnabled,,,
'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Jun-28_10-10-03,10-10-03.4,0,12.563,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,247.224,-605.534,109.517,0,0,16435,5,2.862,1,????,
2014-Jun-28_10-10-03,10-10-03.5,0,12.563,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,236.732,-605.75,109.403,0,0,16440,5,2.962,1,?,
??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Jun-28_10-10-03,10-10-03.6,0,12.571,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,234.634,-605.967,109.517,0,0,16445,5,3.062,1,&?',
2014-Jun-28_10-10-03,10-10-03.7,0,12.58,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-606.183,109.631,0,0,16450,5,3.162,1,P??,
2014-Jun-28_10-10-03,10-10-03.8,0,12.58,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-606.396,109.403,0,0,16455,5,3.263,1,???b,
2014-Jun-28_10-10-03,10-10-03.9,0,12.589,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-606.613,109.517,0,0,16460,5,3.362,1,L?k?,
2014-Jun-28_10-10-04,10-10-04.0,0,12.597,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-606.831,109.403,0,0,16465,5,3.462,1,*e?z,
2014-Jun-28_10-10-04,10-10-04.2,0,12.597,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,230.437,-607.041,109.403,0,0,16470,5,3.563,1,???],
2014-Jun-28_10-10-04,10-10-04.3,0,12.606,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-607.471,109.403,0,0,16480,5,3.765,1,?t?,
2014-Jun-28_10-10-04,10-10-04.4,0,12.606,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-607.686,109.403,0,0,16485,5,3.863,1,R???,
2014-Jun-28_10-10-04,10-10-04.5,0,12.606,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,233.584,-607.905,109.517,0,0,16490,5,3.963,1,???l,
2014-Jun-28_10-10-04,10-10-04.8,0,12.615,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-608.556,109.517,0,0,16505,5,4.262,1,????,
2014-Jun-28_10-10-04,10-10-04.9,0,12.641,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-608.993,109.403,0,0,16515,5,4.462,1,Ky?,
2014-Jun-28_10-10-05,10-10-05.0,0,12.641,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-608.993,109.403,0,0,16515,5,4.462,1,?,
?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-Jun-28_10-10-05,10-10-05.1,0,12.649,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-609.209,109.517,0,0,16520,5,4.562,1,?,
2014-Jun-28_10-10-05,10-10-05.3,0,12.649,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-609.467,109.517,0,0,16525,5,4.662,1,j??K,
2014-Jun-28_10-10-05,10-10-05.4,0,12.649,1.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-609.68,109.289,0,0,16530,5,4.762,1,\Y?l,
2014-Jun-28_10-10-05,10-10-05.5,0,12.658,2.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-610.117,109.403,0,0,16540,5,4.962,1,??,
2014-Jun-28_10-10-05,10-10-05.6,0,12.658,1.921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-610.333,109.517,0,0,16545,5,5.062,1,c??,
2014-Jun-28_10-10-05,10-10-05.7,0,12.641,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-610.549,109.517,0,0,16550,5,5.163,1,XxI,
2014-Jun-28_10-10-05,10-10-05.8,0,12.641,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-610.769,109.517,0,0,16555,5,5.263,1,P?F?,
2014-Jun-28_10-10-05,10-10-05.9,0,12.641,2.656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,231.486,-610.987,109.403,0,0,16560,5,5.363,1,s??,
2014-Jun-28_10-10-06,10-10-06.0,0,12.641,3.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,232.535,-611.2,109.631,0,0,16565,5,5.463,1,?R?,
